ifds_UserComment ,Count
(C)FJ Poxon       ST16 1RT, 1
(c)Gaspar Hajdu-gase12@hotmai, 2
(C)Geoff Buckland, 3
(c)GEORG SCHWARZENBERGER, 3
(c)H.Haubenreisser // hlgr.h@, 4
(c)Hanson Lee, 1
(C)Henk Bart tel.+48608355585, 1
(c)J.Bonilla, 1
(c)JackClarfelt@hotmail.com, 1
(c)Jake Kooser    +1 954-655-, 1
(c)Jesper Sachmann {SACHMANNS, 1
(C)Jimmy Ly --    lyj(AT)ucla, 1
(c)John Goodridge, 3
(C)Junest Chick, 1
(c)KANDICE PLAIN 417-380-0662, 1
(c)KarlDelahaye, 1
(c)KenRockwell.com (858) 453-, 19
(c)Kristen Moreland, 2
(c)Larah McElroy, 1
(C)Lucy, 2
(C)LYDIA CHRISTMAN, 1
(C)M.HEARN, 3
(c)markcra.com, 1
(c)MeganDrennon.com (512) 657, 1
(c)Mohd Rizal Abdullah 019277, 15
(c)Morian Walker, 1
(c)MZerman2013, 1
(c)PARTICKULAR, 1
(c)Pat Williams, 1
(c)Paul Stockton, 1
(C)Pete Campbell, 1
(C)Pete Campbell         2009, 1
(c)PeteCampbell, 11
(c)PIYUSH PUSHKAR (425) 837-3, 1
(C)Rahul, 7
(C)RALF PETER REIMANN, 3
(c)Raul Alvarez, 149
(c)Richard Lingner, 1
(c)Rick Fender, 1
(c)Robert Stern, 9
(c)sabillington, 11
(C)SERGIO SA, 9
(c)Steve Chen, 1
(c)Steve Hutton, 1
(C)STEVEN M WATSON07970 68303, 152
(c)SyndWorx, 1
(c)T.Keller, 4
(C)WALTER BETTS   WLBETTS@GMA, 3
(c)Wanderingseoul61@yahoo.com, 2
(C)WILSON LIN 1-626-353-7732, 336
(c)www.PlacesAtNiagara.com/Gr, 5
(c)_redzajamil@gmail.com, 10
(cc) Carlos Sancho http://kar, 1
(cc) Tobi Luetke, 1
)3=GQ[eoy    [FlashP, 2
)3=GQ[eoy, 1
)3=GQ[e, 2
)3=GQ, 1
), 3
)$:2#B;$5, 1
)72041C-(, 1
*4>HRfpz    [FlashPi, 1
*4>HRfpz    [FlashPi, 1
*4>HRf, 1
*1, 1
*, 4
*%48L0, 1
+4=, 1
+, 1
+380667137169 Evgen Klochko O, 1
+HI]    [FlashPixVersion, 1
,6@JT, 2
,1:, 1
,, 6
-, 5
--    , Dental--, 155
-7414;, 1
-START, 342
..RAl3a6iya.., 2
/9CMWaku, 1
/, 7
/**-///,+.014, 1
/2101232212872, 1
/AC>5+3431$04, 1
0, 2
000 00003 00038 00036, 1
00000000I, 2
00000000IM, 3
000000:073082:082076:72:130N0, 1
000000:077077:077077:72:050N0, 1
000000:078077:078077:72:111N0, 1
000000:078079:078079:72:029N0, 1
000000:079071:086071:72:027N0, 1
000000:079074:086074:72:061N0, 1
000000:079075:084075:70:052N0, 1
000000:079075:086075:72:081N0, 1
000000:082078:086076:72:112N0, 1
000000:089070:089070:70:051N0, 1
0000023,0000025,0000528,00004, 1
0031  001 048 001 12606410506, 1
004003:088073:088073:50:076N0, 1
004005:082072:082072:52:060N0, 1
0049  001 071 001 12606410107, 1
0052  001 086 001 12606409406, 1
0056  001 094 001 12606411707, 1
006 00077 00130 00055, 1
0060  001 124 001 12606410406, 1
006006:089073:089073:72:064N0, 1
007 00079 00132 00005, 1
0074  001 096 001 12606410207, 1
008 00074 00126 00055, 1
0087  001 106 001 12606410206, 1
0095  001 077 001 12606412806, 1
010 00003 00038 00025, 1
010 00069 00120 00055, 2
010010:077082:087070:74:071N0, 1
0121  001 104 001 12606408606, 1
0123  001 108 001 11606608707, 1
0132  001 117 001 11506709007, 1
0136  001 136 001 12606411006, 1
0139  001 108 001 11706608808, 1
014 00069 00120 00055, 1
0149  001 094 001 12606410107, 1
015 00065 00115 00055, 1
0151  001 092 001 12606410106, 1
0152  001 079 001 12606410007, 1
0160  001 118 001 11406908109, 1
0161  001 093 001 12606408807, 1
0167  001 111 001 11706708108, 1
016_4777525 OMARKOYAN, 1
0178  001 120 001 11106907709, 1
018 00050 00096 00018, 1
0186  001 135 001 12606412309, 1
0189  001 051 001 12606409407, 1
019 00061 00110 00055, 1
020020:079077:079077:72:071N0, 1
0201  001 116 001 10407108608, 1
0203  001 123 001 10407307609, 1
0208  001 104 001 12606409306, 1
021 00020 00058 00000, 1
022 00003 00038 00025, 1
024 00059 00107 00063, 1
024 00061 00110 00055, 1
024019:073086:074086:52:078N0, 1
0245  001 092 001 12606412406, 1
025 00028 00068 00006, 1
025 00059 00107 00055, 1
025 00063 00112 00055, 1
026 00092 00148 00025, 1
026026:080084:080084:62:067N0, 1
027 00069 00120 00027, 1
027 00079 00132 00052, 1
0271  001 132 001 11306709207, 1
0274  001 144 001 11707314210, 1
028 00056 00103 00055, 1
028028:069086:064102:72:072N0, 1
0285  001 131 001 10906907908, 1
0288  001 132 001 11006908408, 1
029 00055 00102 00055, 2
030 00060 00108 00054, 1
031 00058 00106 00054, 1
0311  001 139 001 08010806717, 1
032 00060 00108 00054, 1
033033:072082:072082:72:070N0, 1
033033:077082:091055:70:073N0, 1
0334  001 095 001 12606409207, 1
034 00060 00108 00055, 1
035 00002 00037 00051, 1
036 00064 00113 00025, 1
037 00051 00097 00057, 1
037037:080084:080084:60:065N0, 1
038 00052 00098 00025, 2
038 00053 00100 00054, 1
0394  001 116 001 11006907708, 1
0398  001 139 001 12207713208, 1
040 00050 00096 00055, 1
040 00051 00097 00055, 1
041008_191058, 1
043 00020 00058 00000, 1
044 00079 00132 00025, 1
0444  001 115 001 12606410207, 1
0444  001 132 001 09907507609, 1
0447  001 127 001 08110007210, 1
046 00048 00093 00055, 1
046 00051 00097 00054, 1
0470  001 144 001 11806911607, 1
048 00062 00111 00048, 1
0486  001 144 001 11606206905, 1
0487  001 126 001 14009514410, 1
05/04/16 17:24, 1
050 00048 00093 00055, 1
050 00064 00113 00049, 1
050501_001241, 1
0517  001 122 001 10107307609, 1
052 00047 00092 00058, 1
0527  001 109 001 12306711907, 1
0529  001 078 001 12106510907, 1
053 00046 00091 00055, 1
0538  001 112 001 12208012808, 1
054 00003 00038 00025, 1
055 00050 00096 00053, 1
055 00052 00098 00025, 1
055055:076081:076081:72:036N0, 1
0558  001 112 001 12606409807, 1
056 00045 00090 00055, 3
056 00045 00090 00059, 1
0562  001 097 001 12606410007, 1
057 00044 00088 00059, 1
057 00052 00098 00054, 1
0576  001 128 001 07110706014, 1
058 00046 00091 00055, 1
058 00063 00112 00025, 1
058 00066 00116 00027, 1
0584  001 141 001 11107810908, 1
059 00044 00088 00055, 1
059059:069081:069081:72:071N0, 1
060 00045 00090 00056, 1
060 00046 00091 00061, 1
060 00063 00112 00025, 1
0605  001 100 001 12510415212, 1
061 00052 00098 00027, 1
062 00014 00023 00000, 1
062 00064 00113 00025, 1
063 00049 00095 00051, 1
063 00075 00127 00006, 1
0630  001 133 001 09808010408, 1
0635  001 134 001 12807213007, 1
0635  001 137 001 13206913507, 1
064 00045 00090 00055, 1
064 00048 00093 00030, 1
064 00051 00097 00027, 1
0659  001 096 001 09908209508, 1
066 00002 00037 00045, 1
0664  001 137 001 12106913506, 1
0677  001 134 001 12207612808, 1
071 00042 00086 00025, 1
071 00048 00093 00048, 1
071 00067 00117 00025, 1
0715  001 131 001 10606908308, 1
072 00044 00088 00052, 1
072 00046 00091 00027, 1
0729  001 087 001 11907211508, 1
073 00044 00088 00025, 1
074 00045 00090 00056, 1
0741  001 138 001 12207112108, 1
075 00040 00083 00055, 1
075 00041 00085 00063, 1
076 00041 00085 00063, 1
076 00101 00160 00042, 1
077 00047 00092 00050, 1
0770  001 131 001 13407413908, 1
078 00074 00126 00004, 2
0780  001 125 001 11807011008, 1
080 00040 00083 00059, 1
080 00041 00085 00054, 1
0801  001 102 001 12706913309, 1
0801  001 138 001 11906911407, 1
081 00039 00082 00055, 1
0817  001 133 001 12306611408, 1
082 00040 00083 00063, 1
082 00051 00097 00025, 1
0828  001 124 001 12606409507, 1
083 00039 00082 00057, 1
083 00044 00088 00033, 2
083 00068 00118 00025, 1
084 00008 00030 00000, 1
084 00039 00082 00054, 1
084 00042 00086 00025, 1
085 00010 00046 00044, 1
086 00039 00082 00062, 1
087 00038 00081 00025, 1
088 00042 00086 00025, 1
089 00003 00038 00030, 1
089 00038 00081 00055, 1
090 00038 00081 00058, 1
090 00044 00088 00025, 1
090 00063 00112 00025, 1
091 00063 00112 00025, 4
092 00040 00083 00025, 1
093 00038 00081 00056, 1
093 00041 00085 00056, 1
093 00115 -0103 00000, 1
094 00038 00081 00055, 1
094 00041 00085 00027, 1
094 00072 00123 00005, 2
094094:093070:093070:70:032N0, 1
0945  001 142 001 13108313409, 1
095 00026 00008 00000, 3
095095:091070:091070:70:035N0, 1
0957  001 130 001 12606408907, 1
096 00047 00092 00029, 2
0969  001 138 001 11706610407, 1
097 00037 00080 00061, 1
097 00053 00100 00025, 1
0978  001 143 001 13907014707, 1
098 00043 00087 00029, 1
0983  001 135 001 12506712507, 1
099 00056 00103 00025, 2
099100:079074:082074:52:123N0, 1
0995  001 116 001 12006912007, 1
1;EOYcmw    [FlashPix, 1
1, 4
100 00036 00078 00055, 2
100 00036 00078 00059, 1
100 00063 00112 00025, 1
100011,)47+&07, 1
101 00020 00058 00000, 1
102 00037 00080 00054, 1
103 00036 00078 00055, 1
103 00039 00082 00029, 1
103 00047 00092 00025, 1
105 00045 00090 00033, 1
106 00035 00077 00055, 1
111 00071 00122 00010, 1
111111:077082:098063:70:071N0, 1
112 00041 00085 00026, 1
112112:070086:070090:72:066N0, 1
114114:086081:086081:67:068N0, 1
116 00020 00058 00000, 1
119 00034 00076 00063, 1
119119:080084:080084:60:066N0, 1
120 00034 00076 00055, 1
123 00009 00045 00025, 1
123 00033 00075 00058, 1
123 00036 00078 00025, 1
123 00056 00103 00025, 1
123123:079081:079081:62:068N0, 1
124 00043 00087 00025, 1
125 00038 00081 00025, 1
131 00012 00048 00010, 1
132 00006 00033 00000, 1
132 00037 00080 00025, 1
132 00068 00118 00008, 1
133 00052 00098 00025, 1
134 00036 00078 00045, 2
135135:061096:053113:7B:069N0, 1
136 00001 00035 00025, 1
137 00049 00095 00025, 2
138 00009 00045 00025, 1
139 00031 00072 00056, 1
139 00046 00091 00025, 1
141 00065 00115 00025, 1
142 00001 00035 00026, 1
142 00031 00072 00055, 1
142 00031 00072 00058, 1
142 00041 00085 00025, 1
143 00031 00072 00055, 1
143 00037 00080 00025, 1
144144:078080:078080:72:071N0, 1
145 00034 00076 00025, 1
150 00031 00072 00025, 1
150 00031 00072 00055, 1
150 00039 00082 00025, 1
152 00085 00140 00025, 1
153 00031 00072 00049, 1
156 00030 00071 00063, 1
156624A539344B308390T2L00V02., 1
160 00009 00029 00028, 1
160 00043 00087 00025, 1
161 00044 00088 00025, 1
161161:071084:047110:70:065N0, 1
163 00032 00073 00025, 1
165 00061 00110 00025, 2
165 00072 00123 00028, 1
166 00030 00071 00053, 1
168163:071084:047102:50:088N0, 1
171 00029 00070 00055, 1
172 00009 00045 00007, 3
172 00033 00075 00051, 1
172 00040 00083 00025, 1
172 00050 00096 00025, 1
176 00045 00090 00025, 1
177 00028 00068 00056, 1
179 00033 00075 00047, 1
181 00035 00077 00037, 1
182 00030 00071 00030, 1
182 00031 00072 00025, 1
182 00031 00072 00033, 1
182182:066104:061101:70:027N0, 1
182182:083079:083079:70:022N0, 1
183 00030 00071 00025, 1
183183:066096:051104:70:055N0, 1
183183:077090:077090:62:004N0, 1
185 00028 00068 00056, 1
186 00008 00043 00014, 1
186 00030 00071 00025, 1
187 00028 00068 00051, 1
188 00035 00077 00055, 1
189 00015 00022 00024, 2
189 00052 00098 00025, 1
190 00030 00071 00047, 1
193 00034 00076 00025, 1
197 00038 00081 00004, 1
198 00020 00058 00000, 1
199 00020 00058 00000, 1
199 00035 00077 00057, 1
2, 1
20050718142428, 1
20050726220658, 1
20060325194009, 1
20060326124019, 1
20060327191115, 1
20060329190027, 1
20060402131734, 1
20060402133228, 1
20060402133319, 1
20060402134054, 1
20060907133550, 1
20060907133955, 1
20060918164250, 1
20060918164449, 1
20060918164554, 1
20061203165009, 1
20061203165120, 1
20061203165207, 1
20061203170958, 1
2007/08/28 23:26, 1
2007/09/04 20:19, 1
2007/09/17 18:41, 1
2007/11/27 21:22, 1
2007/11/30 21:10, 1
2007/12/18 13:45, 1
2007/12/26 13:31, 1
20070319160920, 1
20070328181821, 1
20070407224338, 1
20070407224511, 1
20070421133814, 1
20070616141352, 1
20071011014621, 1
20071014135102, 1
20071030070420, 1
20071202194955, 1
20071222221925, 1
20071230141015, 1
2008/01/07 13:48, 1
2008/01/11 13:48, 1
2008/01/12 17:22, 1
2008/01/14 20:57, 1
2008/01/19 20:32, 1
2008/01/23 10:07, 1
2008/01/23 11:11, 1
2008/01/27 14:18, 1
2008/01/31 11:28, 1
2008/02/03 11:39, 1
2008/02/04 13:31, 1
2008/11/01 13:16, 1
2008/11/01 13:24, 1
2008/11/13 11:41, 1
2008/11/13 11:42, 1
2008/11/13 11:43, 1
2008/11/13 12:00, 1
2008/11/24 18:58, 1
2008/11/29 12:22, 1
2008/11/29 12:25, 1
2008/12/02 11:04, 1
2008/12/07 17:59, 1
2008/12/07 18:23, 1
20080123151727, 1
20080202210521, 1
20080203135653, 1
20080203174554, 1
20080323164033, 1
200803251744000, 1
20080327115616, 1
200803291552000, 1
20080405144412, 1
20080503151954, 1
200805201850000, 1
200806031132000, 1
200806041527000, 1
200806131201000, 1
200806131218000, 1
200806151546000, 1
200809091454000, 1
200809091457000, 1
200809191746000, 1
20081206094505, 1
200812081601000, 1
2009 FuturePastNow, 2
2009/01/01 22:11, 1
2009/02/04 14:01, 1
2009/02/11 16:33, 1
2009/02/14 11:31, 1
2009/02/14 11:46, 1
2009/02/14 11:47, 1
2009/03/04 10:54, 1
2009/03/22 17:50, 1
2009/03/23 17:47, 1
2009/04/10 14:05, 1
2009/04/10 14:10, 1
2009/05/04 17:24, 1
2009/05/12 16:10, 1
2009/05/12 16:25, 2
2009/05/13 11:21, 1
2009/05/17 11:32, 2
2009/05/17 11:33, 1
2009/05/23 19:45, 1
2009/05/26 14:19, 1
2009/05/26 14:20, 1
2009/06/10 09:12, 1
2009/06/10 09:13, 1
2009/06/21 17:21, 1
2009/06/21 17:33, 2
2009/06/21 17:35, 1
2009/08/22 19:32, 1
200902241116000, 1
200908120942000, 1
201 00056 00103 00008, 3
2010/04/14 21:20, 1
2010/08/11 11:22, 1
20100204082535, 1
20100205165716, 1
20100206202509, 1
20100206204854, 1
20100206204909, 1
20100207084340, 1
20100207084355, 1
20100207084718, 1
20100207084958, 1
20100207085319, 1
20100207085333, 1
20100207111621, 1
20100207112418, 1
201009121600000, 2
201012040822000, 1
2010:01:24 13:13:03, 1
2011/ 7/ 9 12:12, 1
2011/ 7/16 12:50, 1
2011/ 7/16 12:51, 1
2011/ 7/16 13:28, 2
2011/ 7/16 13:29, 1
2011/ 7/16 15:00, 1
2011/ 7/16 15:12, 3
2011/ 7/16 15:13, 2
2011/ 7/16 15:14, 2
2011/ 7/16 15:15, 2
2011/07/05 13:40, 1
2011/10/21 20:33, 1
201201221713000, 1
201201251841000, 1
201201261834000, 1
201201301609000, 1
201202021630000, 1
201202211404000, 1
201202242355000, 1
201202281337000, 1
201203112233000, 1
201203112238000, 1
201204051535000, 1
201204051540000, 1
201204081420000, 1
201204131357000, 1
201204131435000, 1
201205101137000, 1
201205181728000, 1
2013 Southern Decadence, 91
202 00034 00076 00025, 1
203 00032 00073 00027, 1
205 00058 00106 00025, 1
207 00026 00066 00058, 1
208 00026 00066 00058, 1
208 00063 00112 00027, 1
209 00013 00024 00054, 1
209 00040 00083 00025, 1
209, 0, 1, 476, 20
209, 0, 1, 504, 1
209, 1, 1, 476, 3
210 00026 00066 00055, 1
210 00034 00076 00033, 1
211 00026 00066 00055, 1
211 00030 00071 00025, 1
212 00035 00077 00025, 1
213 00020 00058 00000, 1
213 00030 00071 00030, 1
215 00025 00065 00054, 1
216 00058 -0032 00001, 2
219 00027 00067 00025, 1
220 00028 00068 00025, 1
221 00029 00070 00026, 1
223 00030 00071 00025, 1
224 00000 00034 00054, 1
225 00036 00078 00025, 1
227 00024 00063 00055, 1
227 00068 00118 00021, 1
228749A322650t357628B223715t2, 1
230 00036 00078 00025, 1
230 00042 00086 00025, 3
232 00000 00034 00031, 1
233 00020 00058 00000, 1
233774A376666B236789t233809T2, 1
234 00099 00157 00025, 1
236 00032 00073 00033, 2
240 00060 00108 00025, 1
241 00034 00076 00023, 1
245 00026 00066 00045, 1
245 00038 00081 00025, 1
246 00031 00072 00025, 2
247 00000 00034 00025, 1
251,00342,00312,00138,01000,0, 1
252 00027 00067 00038, 1
258 00046 00091 00025, 1
259 00025 00065 00025, 1
259 00033 00075 00025, 2
260 00027 00067 00028, 1
260 00031 00072 00025, 1
260, 1, 1, 476, 12
263 00038 00081 00025, 1
264 00008 00030 00053, 1
266 00047 00092 00025, 1
267421A399433B269452T2L00V03., 1
273 00052 00098 00025, 1
274 00008 00030 00053, 1
276 00023 00012 00000, 3
278 00009 00029 00025, 2
279 00024 00063 00025, 1
279 00053 00100 00025, 1
283 00006 00033 00019, 1
283 00022 00061 00028, 1
284 00034 -0002 00000, 1
288 00010 00028 00022, 1
289 00043 00087 00025, 1
294 00064 00113 00022, 1
295 00054 00101 00025, 5
296 00020 00058 00055, 1
298 00007 00042 00025, 1
298 00023 00062 00025, 1
3, 6
302 00028 00068 00025, 2
304 00021 00060 00025, 1
305 00025 00065 00028, 1
305 00029 00070 00025, 1
310 00000 00040 00025, 1
310 00021 00060 00025, 1
3118874650, 17
313 00000 00040 00025, 1
313 00020 00058 00055, 1
315 00033 00075 00025, 1
315653A376611B313649t309665T2, 1
316 00000 00040 00002, 3
317 00000 00040 00009, 1
318 00048 00093 00025, 1
319 00023 00062 00025, 1
322 00020 00058 00000, 1
323 00000 00040 00058, 1
323 00045 00090 00025, 2
325 00004 00035 00007, 1
325 00021 00060 00025, 1
327 00022 00061 00025, 1
328 00059 00107 00028, 1
332 00000 00040 00006, 1
334 00019 00057 00060, 1
334 00047 00092 00024, 1
338 00001 00039 00027, 1
340 00020 00058 00025, 1
342 00018 00056 00055, 1
343 00020 00058 00000, 1
343616A558367B457402T2L00V06., 1
345 00028 00005 00007, 1
347 00026 00066 00025, 2
347 00027 00067 00025, 2
350 00018 00056 00058, 1
350 00024 00063 00025, 2
355 00026 00066 00057, 1
356 00019 00057 00025, 1
356 00058 00106 00024, 1
358 00015 00022 00008, 1
361 00001 00039 00025, 1
361 00018 00056 00025, 1
362 00001 00039 00025, 1
362433A565441B463498t413507T0, 1
364 00021 00060 00028, 1
365 00023 00062 00025, 1
366 00017 00055 00058, 1
367 00050 -0022 00001, 1
369 00019 00057 00025, 1
370 00024 00063 00025, 2
372 00048 00093 00021, 1
374 00025 00065 00057, 1
375 00024 00063 00025, 1
376 00035 -0003 00000, 1
379 00018 00056 00052, 1
379 00020 00058 00000, 1
380 00017 00055 00050, 1
385 00063 00112 00018, 1
386 00077 00130 00017, 1
388 00010 00028 00002, 1
389 00056 00103 00024, 1
390 00010 00028 00025, 1
392 00016 00053 00055, 1
395 00042 00086 00025, 1
396 00016 00053 00052, 1
396 00016 00053 00055, 1
399 00016 00053 00059, 2
4, 3
400 00018 00056 00033, 1
401 00058 -0032 00002, 1
402 00060 00108 00018, 1
403 00047 00092 00025, 1
404 00021 00060 00025, 1
405 00020 00058 00000, 1
4050286-AP7023, 1
407 00018 00056 00025, 1
410 00034 -0002 00025, 1
411 00016 00053 00054, 1
411 00020 00058 00000, 1
417 00002 00038 00025, 1
418 00021 00060 00025, 1
419 00034 00076 00025, 1
419 00063 00112 00014, 1
420 00016 00053 00025, 2
422 00020 00058 00025, 1
423451A430427t516404B428444t5, 1
424 00041 00085 00024, 1
427 00015 00052 00054, 1
427 00056 -0030 00013, 1
430 00006 00041 00057, 1
432 00015 00052 00054, 1
437 00020 00058 00025, 1
437 00074 -0052 00006, 1
438 00041 00085 00017, 1
439 00016 00053 00025, 1
440 00015 00052 00029, 2
445 00023 00062 00025, 1
447 00015 00052 00025, 1
448 00020 00058 00027, 1
449 00051 -0023 00001, 1
450 00037 00080 00027, 1
452 00015 00052 00025, 1
452499A457502B457500t451513T2, 1
454 00014 00051 00058, 1
458 00002 00038 00025, 1
459439A482432B465435t459446T2, 1
460 00036 00078 00017, 1
461400A463409t556387B474395t5, 1
464 00014 00051 00047, 1
466 00036 00078 00024, 1
467 00014 00051 00050, 1
473 00014 00051 00052, 1
473360A536409B537390t530400T0, 1
475 00014 00051 00055, 1
478 00060 00108 00021, 1
485386A516417B512414t505424T0, 1
487 00009 00029 00006, 1
487355A441422t530399B508356t6, 1
496450A513448B503445t496456T1, 1
497 00095 00152 00020, 1
500 00002 00038 00050, 1
502 00012 00025 00021, 1
502 00025 00009 00008, 1
503 00013 00050 00025, 1
503601, 1
504 00013 00050 00052, 1
504 00015 00022 00025, 1
504425A521440B508426t501437T1, 1
506 00047 00092 00021, 1
506 00055 00102 00022, 1
508 00013 00050 00025, 1
510 00013 00050 00025, 1
512 00083 -0063 00001, 1
513 00014 00051 00025, 1
521348A534430B585362t577371T0, 1
522 00035 -0003 00002, 2
524 00015 00052 00025, 1
525 00017 00055 00025, 1
526 00013 00050 00050, 1
526382A528408B531387t524397T0, 1
527 00020 00058 00055, 1
530 00012 00048 00055, 1
534363A517424B546380T0L00V13., 1
540 00020 00058 00000, 1
540403A551428B515425t459432T0, 1
541 00051 00097 00001, 1
548 00012 00048 00045, 1
552 00020 00058 00000, 1
554 00000 00040 00007, 1
556 00011 00047 00051, 1
558 00023 00062 00025, 1
560 00011 00047 00051, 2
560 00039 00082 00014, 1
560 00053 00100 00017, 1
563 00012 00048 00051, 1
564 00011 00047 00059, 1
564 00052 00098 00001, 1
564 00078 00131 00028, 1
570 00047 00092 00009, 1
573 00011 00047 00025, 1
573 00049 00095 00023, 1
573364A561388B578364t570373T1, 1
574 00008 00030 00010, 2
576 00011 00047 00031, 1
576 00033 00075 00021, 1
576318A464426B574331T0L00V15., 1
576389A579393B583391t575401T2, 1
57884?DEFCLNKK, 1
584 00020 00058 00000, 1
585356A576399B596358t588367T0, 1
588 00051 00097 00023, 1
590 00013 00050 00029, 1
591 00043 00087 00025, 1
591266A529368B565274T2L00V05., 1
596 00017 00055 00022, 1
6, 4
600 00011 00047 00033, 1
602 00018 00056 00057, 1
603 00077 00130 00025, 1
613-894-2336, 1
614 00021 00060 00023, 1
615 00010 00046 00052, 1
615 00039 00082 00010, 6
616 00010 00046 00055, 1
618 00062 -0037 00002, 1
623 00018 00056 00025, 1
626 00010 00046 00058, 1
628 00064 00113 00024, 1
640 00010 00028 00002, 1
642 00062 00111 00016, 1
643 00059 -0033 00006, 2
647 00003 00038 00000, 1
650 00004 00035 00027, 1
650 00009 00045 00051, 1
652 00052 00098 00014, 1
658 00009 00045 00025, 1
658 00033 00075 00027, 1
663 00009 00045 00025, 1
675 00016 00053 00021, 1
683 00023 00012 00001, 2
687 00017 00055 00025, 1
688 00008 00043 00025, 1
698287A627354B680291t671298T2, 1
7, 100
70-210, 6
705 00018 00056 00013, 1
716 00008 00043 00055, 1
717 00016 00053 00025, 1
728 00020 00058 00000, 1
731 00057 00105 00012, 1
735 00015 00052 00057, 1
737 00036 -0005 00005, 1
741 00008 00043 00031, 1
741 00031 00002 00001, 1
742 00057 -0031 00007, 1
742 00067 -0043 00006, 1
751 00020 00058 00000, 2
751 00065 -0041 00001, 1
751 00073 00125 00018, 1
755 00060 -0035 00004, 1
758 00057 00105 00003, 1
761 00044 00088 00016, 1
763 00009 00045 00025, 1
763 00059 00107 00027, 1
764 00011 00027 00025, 2
767 00008 00043 00025, 1
76999:, 1
776 00020 00058 00000, 1
776 00088 00143 00011, 1
779 00014 00051 00016, 1
782 00012 00025 00025, 1
784 00009 00045 00025, 1
787 00009 00045 00025, 1
793 00012 00025 00032, 2
8, 2
803 00018 00056 00025, 1
806 00008 00030 00025, 1
806 00047 00092 00013, 1
81.Geburtstag von Oma, 1
818 00006 00041 00050, 1
819 00005 00034 00055, 1
820 00006 00041 00037, 1
821 00030 00071 00017, 1
828 00006 00041 00043, 1
832 00017 00019 00025, 1
833 00016 00020 00025, 1
842 00020 00058 00000, 1
848 00029 00070 00018, 1
