ifds_ExifImageHeight ,Count
0x[00000606] / 1542, 1
0x[00000607] / 1543, 2
0x[00000608] / 1544, 170
0x[00000609] / 1545, 25
0x[0000060A] / 1546, 4
0x[0000060B] / 1547, 5
0x[0000060D] / 1549, 1
0x[0000060F] / 1551, 2
0x[00000610] / 1552, 2143
0x[00000611] / 1553, 1
0x[00000612] / 1554, 6
0x[00000613] / 1555, 2
0x[00000614] / 1556, 5
0x[00000615] / 1557, 1
0x[00000616] / 1558, 1
0x[00000617] / 1559, 2
0x[00000618] / 1560, 12
0x[00000619] / 1561, 2
0x[0000061A] / 1562, 3
0x[0000061B] / 1563, 1
0x[0000061C] / 1564, 2
0x[0000061D] / 1565, 7
0x[0000061E] / 1566, 11
0x[00000620] / 1568, 456
0x[00000622] / 1570, 4
0x[00000623] / 1571, 5
0x[00000624] / 1572, 5
0x[00000625] / 1573, 1
0x[00000627] / 1575, 1
0x[00000628] / 1576, 9
0x[00000629] / 1577, 1
0x[0000062A] / 1578, 2
0x[0000062B] / 1579, 2
0x[0000062C] / 1580, 5
0x[0000062E] / 1582, 3
0x[0000062F] / 1583, 1
0x[00000630] / 1584, 761
0x[00000631] / 1585, 1
0x[00000632] / 1586, 16
0x[00000633] / 1587, 1
0x[00000634] / 1588, 2
0x[00000636] / 1590, 2
0x[00000637] / 1591, 2
0x[00000639] / 1593, 3
0x[0000063B] / 1595, 1
0x[0000063C] / 1596, 3
0x[0000063D] / 1597, 3
0x[0000063E] / 1598, 2
0x[0000063F] / 1599, 2
0x[00000640] / 1600, 5657
0x[00000642] / 1602, 174
0x[00000644] / 1604, 1
0x[00000645] / 1605, 1
0x[00000649] / 1609, 2
0x[0000064A] / 1610, 2
0x[0000064B] / 1611, 1
0x[0000064C] / 1612, 1
0x[0000064E] / 1614, 1
0x[00000650] / 1616, 5
0x[00000651] / 1617, 1
0x[00000654] / 1620, 18
0x[00000655] / 1621, 1
0x[00000656] / 1622, 1
0x[00000657] / 1623, 1
0x[00000658] / 1624, 50
0x[00000659] / 1625, 2
0x[0000065B] / 1627, 2
0x[0000065C] / 1628, 2
0x[0000065D] / 1629, 1
0x[0000065E] / 1630, 2
0x[0000065F] / 1631, 3
0x[00000660] / 1632, 1217
0x[00000662] / 1634, 2
0x[00000664] / 1636, 5
0x[00000665] / 1637, 1
0x[00000666] / 1638, 1
0x[00000667] / 1639, 1
0x[00000668] / 1640, 4
0x[0000066A] / 1642, 1
0x[0000066C] / 1644, 2
0x[0000066D] / 1645, 2
0x[0000066E] / 1646, 1
0x[0000066F] / 1647, 1
0x[00000670] / 1648, 8
0x[00000671] / 1649, 2
0x[00000673] / 1651, 1
0x[00000674] / 1652, 2
0x[00000675] / 1653, 1
0x[00000676] / 1654, 1
0x[00000678] / 1656, 50
0x[00000679] / 1657, 1
0x[0000067A] / 1658, 1
0x[0000067B] / 1659, 2
0x[0000067C] / 1660, 2
0x[0000067D] / 1661, 2
0x[0000067E] / 1662, 3
0x[0000067F] / 1663, 1
0x[00000680] / 1664, 46
0x[00000682] / 1666, 1
0x[00000683] / 1667, 3
0x[00000684] / 1668, 1
0x[00000685] / 1669, 3
0x[00000686] / 1670, 3
0x[00000688] / 1672, 81
0x[00000689] / 1673, 5
0x[0000068A] / 1674, 4
0x[0000068B] / 1675, 2
0x[0000068C] / 1676, 2
0x[0000068F] / 1679, 2
0x[00000690] / 1680, 638
0x[00000692] / 1682, 1
0x[00000694] / 1684, 2
0x[00000695] / 1685, 1
0x[00000696] / 1686, 1
0x[00000697] / 1687, 1
0x[00000698] / 1688, 62
0x[00000699] / 1689, 1
0x[0000069C] / 1692, 1
0x[0000069E] / 1694, 1
0x[0000069F] / 1695, 1
0x[000006A0] / 1696, 304
0x[000006A1] / 1697, 1
0x[000006A2] / 1698, 1
0x[000006A3] / 1699, 1
0x[000006A4] / 1700, 4
0x[000006A5] / 1701, 3
0x[000006A8] / 1704, 11934
0x[000006A9] / 1705, 1
0x[000006AC] / 1708, 3
0x[000006AD] / 1709, 1
0x[000006AE] / 1710, 2
0x[000006B0] / 1712, 6066
0x[000006B1] / 1713, 1
0x[000006B3] / 1715, 3
0x[000006B4] / 1716, 3
0x[000006B5] / 1717, 2
0x[000006B6] / 1718, 1
0x[000006B8] / 1720, 1
0x[000006BA] / 1722, 1
0x[000006BB] / 1723, 2
0x[000006BC] / 1724, 12
0x[000006BD] / 1725, 2
0x[000006BE] / 1726, 4
0x[000006C0] / 1728, 12093
0x[000006C1] / 1729, 5
0x[000006C2] / 1730, 4
0x[000006C3] / 1731, 1
0x[000006C4] / 1732, 2
0x[000006C5] / 1733, 2
0x[000006C6] / 1734, 1
0x[000006C7] / 1735, 1
0x[000006C8] / 1736, 7
0x[000006C9] / 1737, 1
0x[000006CB] / 1739, 1
0x[000006CC] / 1740, 8
0x[000006CD] / 1741, 1
0x[000006CE] / 1742, 1
0x[000006D0] / 1744, 392
0x[000006D1] / 1745, 5
0x[000006D2] / 1746, 289
0x[000006D3] / 1747, 1
0x[000006D4] / 1748, 1
0x[000006D6] / 1750, 2
0x[000006D7] / 1751, 1
0x[000006D8] / 1752, 9
0x[000006D9] / 1753, 2
0x[000006DA] / 1754, 1
0x[000006DB] / 1755, 1
0x[000006DD] / 1757, 4
0x[000006E0] / 1760, 851
0x[000006E1] / 1761, 1
0x[000006E2] / 1762, 4
0x[000006E4] / 1764, 2
0x[000006E5] / 1765, 2
0x[000006E7] / 1767, 2
0x[000006E8] / 1768, 204
0x[000006E9] / 1769, 1
0x[000006EA] / 1770, 2
0x[000006EB] / 1771, 1
0x[000006EC] / 1772, 1
0x[000006ED] / 1773, 4
0x[000006EE] / 1774, 12
0x[000006EF] / 1775, 3
0x[000006F0] / 1776, 8
0x[000006F1] / 1777, 3
0x[000006F3] / 1779, 1
0x[000006F5] / 1781, 2
0x[000006F7] / 1783, 2
0x[000006F8] / 1784, 3
0x[000006F9] / 1785, 1
0x[000006FA] / 1786, 2
0x[000006FB] / 1787, 1
0x[000006FC] / 1788, 2
0x[000006FD] / 1789, 1
0x[000006FF] / 1791, 80
0x[00000700] / 1792, 211
0x[00000701] / 1793, 2
0x[00000702] / 1794, 1
0x[00000703] / 1795, 2
0x[00000704] / 1796, 2
0x[00000708] / 1800, 276
0x[0000070A] / 1802, 1
0x[0000070C] / 1804, 2
0x[0000070D] / 1805, 2
0x[0000070E] / 1806, 2
0x[00000710] / 1808, 3
0x[00000712] / 1810, 1
0x[00000713] / 1811, 4
0x[00000714] / 1812, 1
0x[00000715] / 1813, 2
0x[00000717] / 1815, 2
0x[00000719] / 1817, 4
0x[0000071A] / 1818, 24
0x[0000071B] / 1819, 1
0x[0000071D] / 1821, 2
0x[0000071E] / 1822, 2
0x[0000071F] / 1823, 2
0x[00000720] / 1824, 817
0x[00000721] / 1825, 4
0x[00000722] / 1826, 1
0x[00000724] / 1828, 1
0x[00000725] / 1829, 2
0x[00000726] / 1830, 20
0x[00000728] / 1832, 512
0x[00000729] / 1833, 3
0x[0000072A] / 1834, 1
0x[0000072B] / 1835, 3
0x[0000072C] / 1836, 3308
0x[0000072D] / 1837, 1
0x[0000072E] / 1838, 2
0x[0000072F] / 1839, 1
0x[00000730] / 1840, 2801
0x[00000731] / 1841, 1
0x[00000732] / 1842, 2
0x[00000733] / 1843, 2
0x[00000734] / 1844, 1
0x[00000735] / 1845, 2
0x[00000736] / 1846, 1
0x[00000737] / 1847, 1
0x[00000738] / 1848, 4
0x[00000739] / 1849, 2
0x[0000073A] / 1850, 1
0x[0000073B] / 1851, 4
0x[0000073C] / 1852, 2
0x[0000073D] / 1853, 1
0x[0000073E] / 1854, 2
0x[00000740] / 1856, 956
0x[00000741] / 1857, 4
0x[00000743] / 1859, 2
0x[00000744] / 1860, 2
0x[00000745] / 1861, 3
0x[00000746] / 1862, 3
0x[00000747] / 1863, 1
0x[00000748] / 1864, 53
0x[00000749] / 1865, 1
0x[0000074A] / 1866, 1
0x[0000074B] / 1867, 3
0x[0000074C] / 1868, 3
0x[0000074E] / 1870, 2
0x[0000074F] / 1871, 1
0x[00000750] / 1872, 1469
0x[00000751] / 1873, 2
0x[00000753] / 1875, 28
0x[00000754] / 1876, 7
0x[00000755] / 1877, 3
0x[00000757] / 1879, 2
0x[00000758] / 1880, 980
0x[00000759] / 1881, 2
0x[0000075A] / 1882, 2
0x[0000075B] / 1883, 1
0x[0000075C] / 1884, 2
0x[0000075D] / 1885, 3
0x[0000075E] / 1886, 2
0x[0000075F] / 1887, 2
0x[00000760] / 1888, 3
0x[00000763] / 1891, 1
0x[00000765] / 1893, 1
0x[00000766] / 1894, 2
0x[00000767] / 1895, 1
0x[00000768] / 1896, 3
0x[0000076B] / 1899, 4
0x[0000076D] / 1901, 2
0x[0000076F] / 1903, 1
0x[00000770] / 1904, 18
0x[00000771] / 1905, 2
0x[00000773] / 1907, 5
0x[00000774] / 1908, 1
0x[00000778] / 1912, 2
0x[00000779] / 1913, 1
0x[0000077B] / 1915, 1
0x[0000077C] / 1916, 1
0x[0000077D] / 1917, 1
0x[0000077E] / 1918, 1
0x[0000077F] / 1919, 2
0x[00000780] / 1920, 27557
0x[00000781] / 1921, 2
0x[00000782] / 1922, 8
0x[00000783] / 1923, 1
0x[00000784] / 1924, 1
0x[00000785] / 1925, 1
0x[00000786] / 1926, 1
0x[00000787] / 1927, 1
0x[00000789] / 1929, 3
0x[0000078A] / 1930, 4
0x[0000078B] / 1931, 2
0x[0000078C] / 1932, 78
0x[0000078D] / 1933, 1
0x[0000078E] / 1934, 11
0x[0000078F] / 1935, 2
0x[00000790] / 1936, 31298
0x[00000791] / 1937, 12
0x[00000792] / 1938, 49
0x[00000793] / 1939, 2
0x[00000794] / 1940, 1
0x[00000796] / 1942, 1
0x[00000797] / 1943, 2
0x[00000798] / 1944, 55998
0x[0000079A] / 1946, 1
0x[0000079D] / 1949, 1
0x[0000079E] / 1950, 3
0x[0000079F] / 1951, 1
0x[000007A0] / 1952, 2697
0x[000007A2] / 1954, 1
0x[000007A3] / 1955, 1
0x[000007A4] / 1956, 4
0x[000007A5] / 1957, 2
0x[000007A6] / 1958, 2
0x[000007A8] / 1960, 2
0x[000007AA] / 1962, 2
0x[000007AB] / 1963, 2
0x[000007AC] / 1964, 4
0x[000007AD] / 1965, 1
0x[000007AE] / 1966, 1
0x[000007AF] / 1967, 2
0x[000007B0] / 1968, 236
0x[000007B1] / 1969, 1
0x[000007B2] / 1970, 2
0x[000007B3] / 1971, 1
0x[000007B4] / 1972, 1
0x[000007B5] / 1973, 1
0x[000007B6] / 1974, 4
0x[000007B8] / 1976, 2
0x[000007BA] / 1978, 2
0x[000007BB] / 1979, 1
0x[000007BE] / 1982, 1
0x[000007BF] / 1983, 2
0x[000007C0] / 1984, 83
0x[000007C1] / 1985, 2
0x[000007C2] / 1986, 1
0x[000007C4] / 1988, 1
0x[000007C6] / 1990, 1
0x[000007C9] / 1993, 1
0x[000007CA] / 1994, 1
0x[000007CB] / 1995, 1
0x[000007CC] / 1996, 6
0x[000007CE] / 1998, 42
0x[000007CF] / 1999, 2
0x[000007D0] / 2000, 7793
0x[000007D1] / 2001, 1
0x[000007D4] / 2004, 4
0x[000007D5] / 2005, 6
0x[000007D6] / 2006, 15
0x[000007D7] / 2007, 1
0x[000007D8] / 2008, 67
0x[000007D9] / 2009, 1
0x[000007DA] / 2010, 2
0x[000007DC] / 2012, 14
0x[000007DE] / 2014, 2
0x[000007DF] / 2015, 1
0x[000007E0] / 2016, 941
0x[000007E1] / 2017, 2
0x[000007E2] / 2018, 2
0x[000007E3] / 2019, 2
0x[000007E4] / 2020, 4
0x[000007E5] / 2021, 1
0x[000007E6] / 2022, 1
0x[000007E7] / 2023, 1
0x[000007E8] / 2024, 3
0x[000007E9] / 2025, 4
0x[000007EA] / 2026, 3
0x[000007EB] / 2027, 1
0x[000007EC] / 2028, 1
0x[000007ED] / 2029, 1
0x[000007EE] / 2030, 2
0x[000007EF] / 2031, 2
0x[000007F0] / 2032, 498
0x[000007F1] / 2033, 1
0x[000007F2] / 2034, 2
0x[000007F3] / 2035, 1
0x[000007F5] / 2037, 4
0x[000007F6] / 2038, 1
0x[000007F7] / 2039, 2
0x[000007F8] / 2040, 29
0x[000007FB] / 2043, 6
0x[000007FC] / 2044, 1
0x[000007FD] / 2045, 5
0x[000007FE] / 2046, 1
0x[000007FF] / 2047, 12
0x[00000800] / 2048, 11886
0x[00000804] / 2052, 74
0x[00000805] / 2053, 2
0x[00000807] / 2055, 1
0x[00000808] / 2056, 3531
0x[00000809] / 2057, 3
0x[0000080A] / 2058, 17
0x[0000080B] / 2059, 1
0x[0000080E] / 2062, 2
0x[00000810] / 2064, 207
0x[00000811] / 2065, 1
0x[00000812] / 2066, 1
0x[00000813] / 2067, 4
0x[00000814] / 2068, 2
0x[00000815] / 2069, 1
0x[00000816] / 2070, 15
0x[00000817] / 2071, 3
0x[00000818] / 2072, 5
0x[00000819] / 2073, 2
0x[0000081A] / 2074, 1
0x[0000081B] / 2075, 15
0x[0000081C] / 2076, 2
0x[0000081F] / 2079, 1
0x[00000820] / 2080, 26
0x[00000821] / 2081, 3
0x[00000823] / 2083, 1
0x[00000825] / 2085, 1
0x[00000826] / 2086, 1
0x[00000828] / 2088, 530
0x[0000082B] / 2091, 1
0x[0000082C] / 2092, 1
0x[0000082E] / 2094, 3
0x[00000830] / 2096, 4
0x[00000831] / 2097, 1
0x[00000832] / 2098, 2
0x[00000833] / 2099, 5
0x[00000834] / 2100, 2
0x[00000836] / 2102, 1
0x[00000837] / 2103, 1
0x[00000838] / 2104, 1
0x[00000839] / 2105, 3
0x[0000083B] / 2107, 1
0x[0000083C] / 2108, 4
0x[0000083D] / 2109, 1
0x[00000840] / 2112, 21427
0x[00000841] / 2113, 1
0x[00000842] / 2114, 1
0x[00000843] / 2115, 1
0x[00000845] / 2117, 2
0x[00000846] / 2118, 4
0x[00000848] / 2120, 218
0x[00000849] / 2121, 2
0x[0000084A] / 2122, 2
0x[0000084C] / 2124, 2
0x[0000084D] / 2125, 1
0x[0000084F] / 2127, 3
0x[00000850] / 2128, 423
0x[00000852] / 2130, 2
0x[00000853] / 2131, 5
0x[00000855] / 2133, 1
0x[00000856] / 2134, 684
0x[00000857] / 2135, 1
0x[00000858] / 2136, 2674
0x[00000859] / 2137, 3
0x[0000085B] / 2139, 1
0x[0000085C] / 2140, 2
0x[0000085D] / 2141, 1
0x[00000860] / 2144, 420
0x[00000864] / 2148, 1
0x[00000865] / 2149, 1
0x[00000866] / 2150, 1
0x[00000868] / 2152, 2
0x[00000869] / 2153, 2
0x[0000086D] / 2157, 2
0x[00000870] / 2160, 4471
0x[00000871] / 2161, 1
0x[00000872] / 2162, 2
0x[00000875] / 2165, 26
0x[00000876] / 2166, 1
0x[00000877] / 2167, 1
0x[0000087B] / 2171, 1
0x[0000087C] / 2172, 1
0x[0000087D] / 2173, 2
0x[0000087E] / 2174, 1
0x[00000880] / 2176, 3021
0x[00000883] / 2179, 1
0x[00000884] / 2180, 1
0x[00000885] / 2181, 1
0x[00000887] / 2183, 1
0x[00000888] / 2184, 7
0x[00000889] / 2185, 1
0x[0000088A] / 2186, 1
0x[0000088B] / 2187, 1
0x[0000088D] / 2189, 10
0x[00000892] / 2194, 1
0x[00000893] / 2195, 1
0x[00000894] / 2196, 5
0x[00000898] / 2200, 2
0x[0000089C] / 2204, 643
0x[0000089F] / 2207, 1
0x[000008A0] / 2208, 14
0x[000008A1] / 2209, 1
0x[000008A8] / 2216, 7
0x[000008A9] / 2217, 54
0x[000008AE] / 2222, 2
0x[000008AF] / 2223, 2
0x[000008B0] / 2224, 332
0x[000008B1] / 2225, 2
0x[000008B2] / 2226, 8
0x[000008B3] / 2227, 1
0x[000008B5] / 2229, 2
0x[000008B8] / 2232, 2258
0x[000008BB] / 2235, 2
0x[000008BC] / 2236, 1
0x[000008BE] / 2238, 2
0x[000008C0] / 2240, 410
0x[000008C2] / 2242, 4
0x[000008C3] / 2243, 1
0x[000008C5] / 2245, 1
0x[000008C8] / 2248, 3331
0x[000008C9] / 2249, 1
0x[000008CA] / 2250, 1594
0x[000008CB] / 2251, 1
0x[000008CC] / 2252, 2
0x[000008CE] / 2254, 1
0x[000008D0] / 2256, 140
0x[000008D1] / 2257, 1
0x[000008D4] / 2260, 1
0x[000008D5] / 2261, 1
0x[000008D6] / 2262, 1
0x[000008D8] / 2264, 3
0x[000008D9] / 2265, 2
0x[000008DA] / 2266, 7
0x[000008DB] / 2267, 1
0x[000008DE] / 2270, 1
0x[000008DF] / 2271, 2
0x[000008E0] / 2272, 2073
0x[000008E4] / 2276, 6
0x[000008E5] / 2277, 1
0x[000008E6] / 2278, 1
0x[000008E8] / 2280, 1
0x[000008E9] / 2281, 1
0x[000008EB] / 2283, 1
0x[000008EC] / 2284, 1
0x[000008ED] / 2285, 1
0x[000008EE] / 2286, 2
0x[000008EF] / 2287, 1
0x[000008F0] / 2288, 400
0x[000008F2] / 2290, 1
0x[000008F3] / 2291, 1
0x[000008F4] / 2292, 100
0x[000008F5] / 2293, 3
0x[000008F6] / 2294, 1
0x[000008F8] / 2296, 321
0x[000008FB] / 2299, 1
0x[000008FE] / 2302, 1
0x[000008FF] / 2303, 2
0x[00000900] / 2304, 37675
0x[00000902] / 2306, 1
0x[00000904] / 2308, 3
0x[00000905] / 2309, 19
0x[00000906] / 2310, 2
0x[00000907] / 2311, 1
0x[00000908] / 2312, 2
0x[0000090B] / 2315, 1
0x[0000090C] / 2316, 1
0x[0000090E] / 2318, 1
0x[00000910] / 2320, 2
0x[00000911] / 2321, 1
0x[00000912] / 2322, 4098
0x[00000916] / 2326, 1
0x[00000918] / 2328, 209
0x[0000091B] / 2331, 1
0x[0000091C] / 2332, 135
0x[0000091D] / 2333, 1
0x[00000920] / 2336, 95
0x[00000922] / 2338, 2
0x[00000923] / 2339, 7
0x[00000924] / 2340, 363
0x[00000928] / 2344, 2
0x[00000929] / 2345, 1
0x[0000092C] / 2348, 2
0x[0000092E] / 2350, 2
0x[00000930] / 2352, 983
0x[00000932] / 2354, 5
0x[00000933] / 2355, 2
0x[00000934] / 2356, 2
0x[00000936] / 2358, 1
0x[00000938] / 2360, 3
0x[0000093A] / 2362, 1
0x[0000093C] / 2364, 1
0x[0000093D] / 2365, 3
0x[0000093E] / 2366, 1
0x[00000940] / 2368, 2183
0x[00000942] / 2370, 2
0x[00000944] / 2372, 1
0x[00000946] / 2374, 2
0x[00000947] / 2375, 2
0x[00000948] / 2376, 2145
0x[0000094A] / 2378, 1
0x[0000094C] / 2380, 2
0x[0000094E] / 2382, 1
0x[00000950] / 2384, 2
0x[00000953] / 2387, 2
0x[00000954] / 2388, 1
0x[00000956] / 2390, 2
0x[0000095C] / 2396, 2
0x[0000095F] / 2399, 2
0x[00000960] / 2400, 978
0x[00000961] / 2401, 1
0x[00000963] / 2403, 1
0x[00000966] / 2406, 2
0x[00000967] / 2407, 2
0x[00000968] / 2408, 1
0x[00000969] / 2409, 1
0x[0000096A] / 2410, 2
0x[0000096C] / 2412, 7
0x[0000096F] / 2415, 1
0x[00000970] / 2416, 278
0x[00000972] / 2418, 4
0x[00000974] / 2420, 2
0x[00000975] / 2421, 20
0x[00000977] / 2423, 1
0x[00000978] / 2424, 49
0x[0000097B] / 2427, 1
0x[0000097E] / 2430, 4
0x[00000980] / 2432, 4197
0x[00000981] / 2433, 102
0x[00000982] / 2434, 2
0x[00000984] / 2436, 1
0x[00000986] / 2438, 3
0x[0000098A] / 2442, 58
0x[0000098B] / 2443, 30
0x[0000098C] / 2444, 1
0x[0000098D] / 2445, 1
0x[0000098E] / 2446, 12
0x[00000990] / 2448, 114313
0x[00000991] / 2449, 18
0x[00000992] / 2450, 1
0x[00000993] / 2451, 1
0x[00000994] / 2452, 1
0x[00000995] / 2453, 3
0x[00000996] / 2454, 3
0x[00000998] / 2456, 209
0x[0000099B] / 2459, 1
0x[0000099C] / 2460, 318
0x[0000099D] / 2461, 1
0x[0000099F] / 2463, 1
0x[000009A0] / 2464, 18
0x[000009A2] / 2466, 1
0x[000009A4] / 2468, 1
0x[000009A5] / 2469, 1
0x[000009A8] / 2472, 735
0x[000009AA] / 2474, 1
0x[000009AE] / 2478, 1
0x[000009B0] / 2480, 81
0x[000009B2] / 2482, 1
0x[000009B4] / 2484, 1
0x[000009BC] / 2492, 1
0x[000009BF] / 2495, 1
0x[000009C0] / 2496, 48
0x[000009C2] / 2498, 1
0x[000009C4] / 2500, 5
0x[000009C5] / 2501, 1
0x[000009C8] / 2504, 5
0x[000009C9] / 2505, 1
0x[000009CA] / 2506, 2
0x[000009CD] / 2509, 1
0x[000009CE] / 2510, 2
0x[000009D2] / 2514, 1
0x[000009D4] / 2516, 1
0x[000009D5] / 2517, 2
0x[000009D8] / 2520, 2664
0x[000009DA] / 2522, 1
0x[000009DC] / 2524, 1
0x[000009DE] / 2526, 1
0x[000009E0] / 2528, 3
0x[000009E2] / 2530, 30
0x[000009E4] / 2532, 1
0x[000009E5] / 2533, 1
0x[000009E7] / 2535, 1
0x[000009EB] / 2539, 1
0x[000009EC] / 2540, 2
0x[000009EE] / 2542, 2
0x[000009EF] / 2543, 1
0x[000009F0] / 2544, 68
0x[000009F4] / 2548, 4
0x[000009F7] / 2551, 2
0x[000009FA] / 2554, 1
0x[00000A00] / 2560, 2131
0x[00000A02] / 2562, 2
0x[00000A04] / 2564, 1
0x[00000A05] / 2565, 4
0x[00000A06] / 2566, 1
0x[00000A08] / 2568, 35
0x[00000A0D] / 2573, 1
0x[00000A10] / 2576, 1536
0x[00000A14] / 2580, 3
0x[00000A16] / 2582, 5
0x[00000A17] / 2583, 1
0x[00000A18] / 2584, 81
0x[00000A1B] / 2587, 3
0x[00000A1D] / 2589, 2
0x[00000A1E] / 2590, 5
0x[00000A1F] / 2591, 1
0x[00000A20] / 2592, 32010
0x[00000A21] / 2593, 1
0x[00000A24] / 2596, 1
0x[00000A25] / 2597, 1
0x[00000A26] / 2598, 1
0x[00000A27] / 2599, 1
0x[00000A2C] / 2604, 87
0x[00000A2D] / 2605, 1
0x[00000A30] / 2608, 10
0x[00000A34] / 2612, 1
0x[00000A35] / 2613, 2
0x[00000A38] / 2616, 370
0x[00000A3E] / 2622, 1
0x[00000A3F] / 2623, 1
0x[00000A40] / 2624, 387
0x[00000A43] / 2627, 2
0x[00000A44] / 2628, 20
0x[00000A46] / 2630, 1
0x[00000A47] / 2631, 1
0x[00000A48] / 2632, 3
0x[00000A4D] / 2637, 1
0x[00000A4E] / 2638, 2
0x[00000A4F] / 2639, 4
0x[00000A50] / 2640, 5
0x[00000A54] / 2644, 1
0x[00000A55] / 2645, 1
0x[00000A57] / 2647, 3
0x[00000A58] / 2648, 243
0x[00000A5B] / 2651, 1
0x[00000A5C] / 2652, 11
0x[00000A60] / 2656, 508
0x[00000A64] / 2660, 11
0x[00000A68] / 2664, 401
0x[00000A69] / 2665, 1
0x[00000A6A] / 2666, 2
0x[00000A6B] / 2667, 1
0x[00000A6C] / 2668, 1
0x[00000A70] / 2672, 2069
0x[00000A71] / 2673, 1
0x[00000A74] / 2676, 4
0x[00000A76] / 2678, 1
0x[00000A78] / 2680, 1
0x[00000A79] / 2681, 1
0x[00000A7C] / 2684, 2
0x[00000A7D] / 2685, 1
0x[00000A7E] / 2686, 2
0x[00000A80] / 2688, 2375
0x[00000A86] / 2694, 1
0x[00000A87] / 2695, 1
0x[00000A88] / 2696, 1
0x[00000A8C] / 2700, 1
0x[00000A8F] / 2703, 1
0x[00000A90] / 2704, 1
0x[00000A98] / 2712, 8
0x[00000A99] / 2713, 100
0x[00000A9B] / 2715, 1
0x[00000A9C] / 2716, 1
0x[00000A9F] / 2719, 1
0x[00000AA0] / 2720, 2
0x[00000AA1] / 2721, 16
0x[00000AA2] / 2722, 85
0x[00000AA5] / 2725, 1
0x[00000AA8] / 2728, 7
0x[00000AA9] / 2729, 2
0x[00000AAA] / 2730, 5
0x[00000AAB] / 2731, 5
0x[00000AAC] / 2732, 1
0x[00000AAE] / 2734, 1
0x[00000AAF] / 2735, 2
0x[00000AB0] / 2736, 47200
0x[00000AB2] / 2738, 1
0x[00000AB5] / 2741, 2
0x[00000ABC] / 2748, 485
0x[00000ABF] / 2751, 1
0x[00000AC0] / 2752, 461
0x[00000AC2] / 2754, 68
0x[00000AC5] / 2757, 1
0x[00000AC6] / 2758, 2
0x[00000AC8] / 2760, 2826
0x[00000AC9] / 2761, 1
0x[00000ACA] / 2762, 1
0x[00000ACF] / 2767, 1
0x[00000AD0] / 2768, 2
0x[00000AD1] / 2769, 1
0x[00000AD2] / 2770, 2
0x[00000AD6] / 2774, 5
0x[00000AD7] / 2775, 1
0x[00000AD8] / 2776, 9
0x[00000AD9] / 2777, 1
0x[00000AE0] / 2784, 412
0x[00000AE2] / 2786, 2
0x[00000AE7] / 2791, 1
0x[00000AEC] / 2796, 1
0x[00000AF0] / 2800, 183
0x[00000AF1] / 2801, 1
0x[00000AF5] / 2805, 1
0x[00000AF7] / 2807, 1
0x[00000AFB] / 2811, 1
0x[00000B00] / 2816, 2194
0x[00000B03] / 2819, 1
0x[00000B06] / 2822, 2
0x[00000B08] / 2824, 1
0x[00000B0A] / 2826, 2
0x[00000B10] / 2832, 437
0x[00000B12] / 2834, 1
0x[00000B16] / 2838, 6
0x[00000B17] / 2839, 1
0x[00000B1B] / 2843, 1
0x[00000B1F] / 2847, 2
0x[00000B20] / 2848, 4117
0x[00000B22] / 2850, 1
0x[00000B24] / 2852, 78
0x[00000B25] / 2853, 1
0x[00000B28] / 2856, 726
0x[00000B2F] / 2863, 2
0x[00000B30] / 2864, 21
0x[00000B34] / 2868, 1
0x[00000B36] / 2870, 2
0x[00000B38] / 2872, 1
0x[00000B3A] / 2874, 1
0x[00000B3C] / 2876, 1
0x[00000B40] / 2880, 1614
0x[00000B44] / 2884, 1
0x[00000B46] / 2886, 1
0x[00000B47] / 2887, 8
0x[00000B4A] / 2890, 1
0x[00000B4C] / 2892, 2
0x[00000B4E] / 2894, 7
0x[00000B4F] / 2895, 1
0x[00000B50] / 2896, 138
0x[00000B54] / 2900, 1
0x[00000B57] / 2903, 1
0x[00000B58] / 2904, 1
0x[00000B59] / 2905, 1
0x[00000B5B] / 2907, 2
0x[00000B60] / 2912, 19
0x[00000B64] / 2916, 33
0x[00000B65] / 2917, 1
0x[00000B68] / 2920, 172
0x[00000B6A] / 2922, 1
0x[00000B6B] / 2923, 1
0x[00000B6C] / 2924, 13
0x[00000B71] / 2929, 3
0x[00000B72] / 2930, 7
0x[00000B75] / 2933, 2
0x[00000B76] / 2934, 4
0x[00000B77] / 2935, 1
0x[00000B78] / 2936, 8
0x[00000B7A] / 2938, 1
0x[00000B7C] / 2940, 179
0x[00000B7D] / 2941, 1
0x[00000B80] / 2944, 13
0x[00000B83] / 2947, 1
0x[00000B84] / 2948, 1
0x[00000B88] / 2952, 39
0x[00000B8A] / 2954, 1
0x[00000B8B] / 2955, 1
0x[00000B8C] / 2956, 1
0x[00000B8E] / 2958, 2
0x[00000B8F] / 2959, 1
0x[00000B96] / 2966, 4
0x[00000B98] / 2968, 2
0x[00000B9C] / 2972, 1
0x[00000BA0] / 2976, 2821
0x[00000BA1] / 2977, 1
0x[00000BA4] / 2980, 1
0x[00000BA5] / 2981, 2
0x[00000BA8] / 2984, 3
0x[00000BAA] / 2986, 1
0x[00000BAC] / 2988, 565
0x[00000BAD] / 2989, 1
0x[00000BAF] / 2991, 1
0x[00000BB0] / 2992, 45
0x[00000BB4] / 2996, 3
0x[00000BB5] / 2997, 1
0x[00000BB8] / 3000, 33933
0x[00000BB9] / 3001, 1
0x[00000BBE] / 3006, 1
0x[00000BC0] / 3008, 543
