ifds_ExifImageWidth ,Count
0x[000006E5] / 1765, 2
0x[000006E6] / 1766, 1
0x[000006E8] / 1768, 12
0x[000006E9] / 1769, 2
0x[000006EA] / 1770, 1
0x[000006EB] / 1771, 4
0x[000006EC] / 1772, 1
0x[000006ED] / 1773, 10
0x[000006EE] / 1774, 1
0x[000006EF] / 1775, 4
0x[000006F0] / 1776, 80
0x[000006F1] / 1777, 26
0x[000006F2] / 1778, 1
0x[000006F4] / 1780, 1
0x[000006F5] / 1781, 3
0x[000006F6] / 1782, 2
0x[000006F7] / 1783, 1
0x[000006F8] / 1784, 1
0x[000006F9] / 1785, 1
0x[000006FC] / 1788, 2
0x[000006FE] / 1790, 1
0x[000006FF] / 1791, 225
0x[00000700] / 1792, 181
0x[00000703] / 1795, 73
0x[00000705] / 1797, 2
0x[00000707] / 1799, 1
0x[00000708] / 1800, 56
0x[00000709] / 1801, 1
0x[0000070A] / 1802, 3
0x[0000070B] / 1803, 1
0x[0000070C] / 1804, 1
0x[0000070D] / 1805, 1
0x[0000070E] / 1806, 1
0x[0000070F] / 1807, 102
0x[00000710] / 1808, 3
0x[00000711] / 1809, 4
0x[00000712] / 1810, 2
0x[00000713] / 1811, 3
0x[00000715] / 1813, 1
0x[00000718] / 1816, 1
0x[00000719] / 1817, 21
0x[0000071A] / 1818, 1151
0x[0000071B] / 1819, 3
0x[0000071E] / 1822, 1
0x[0000071F] / 1823, 1
0x[00000720] / 1824, 394
0x[00000721] / 1825, 1
0x[00000723] / 1827, 1
0x[00000724] / 1828, 2
0x[00000726] / 1830, 103
0x[00000727] / 1831, 2
0x[00000728] / 1832, 120
0x[0000072A] / 1834, 2
0x[0000072B] / 1835, 7
0x[0000072C] / 1836, 320
0x[0000072F] / 1839, 2
0x[00000730] / 1840, 3069
0x[00000732] / 1842, 1
0x[00000733] / 1843, 2
0x[00000736] / 1846, 1
0x[00000738] / 1848, 1
0x[00000739] / 1849, 2
0x[0000073A] / 1850, 1
0x[0000073D] / 1853, 1
0x[0000073E] / 1854, 2
0x[0000073F] / 1855, 2
0x[00000740] / 1856, 91
0x[00000741] / 1857, 2
0x[00000743] / 1859, 1
0x[00000744] / 1860, 1
0x[00000745] / 1861, 1
0x[00000746] / 1862, 1
0x[00000748] / 1864, 1
0x[0000074A] / 1866, 1
0x[0000074B] / 1867, 1
0x[0000074D] / 1869, 2
0x[0000074F] / 1871, 2
0x[00000750] / 1872, 52
0x[00000751] / 1873, 1
0x[00000752] / 1874, 2
0x[00000753] / 1875, 2
0x[00000754] / 1876, 4
0x[00000755] / 1877, 1
0x[00000757] / 1879, 1
0x[00000758] / 1880, 6
0x[0000075A] / 1882, 1
0x[0000075C] / 1884, 2
0x[0000075D] / 1885, 1
0x[0000075F] / 1887, 1
0x[00000760] / 1888, 2
0x[00000761] / 1889, 2
0x[00000764] / 1892, 1
0x[00000766] / 1894, 1
0x[00000769] / 1897, 1
0x[0000076B] / 1899, 1
0x[0000076C] / 1900, 1
0x[0000076D] / 1901, 1
0x[00000770] / 1904, 8
0x[00000771] / 1905, 1
0x[00000772] / 1906, 1
0x[00000775] / 1909, 1
0x[00000776] / 1910, 1
0x[00000777] / 1911, 2
0x[00000778] / 1912, 1
0x[0000077A] / 1914, 1
0x[0000077B] / 1915, 1
0x[0000077C] / 1916, 3
0x[0000077D] / 1917, 1
0x[0000077E] / 1918, 1
0x[0000077F] / 1919, 2
0x[00000780] / 1920, 8111
0x[00000782] / 1922, 1
0x[00000784] / 1924, 1
0x[00000785] / 1925, 1
0x[00000786] / 1926, 1
0x[00000788] / 1928, 1
0x[0000078A] / 1930, 205
0x[0000078B] / 1931, 2
0x[0000078C] / 1932, 6
0x[0000078D] / 1933, 2
0x[0000078E] / 1934, 14
0x[00000790] / 1936, 3755
0x[00000791] / 1937, 10
0x[00000792] / 1938, 4
0x[00000793] / 1939, 2
0x[00000794] / 1940, 30
0x[00000795] / 1941, 1
0x[00000797] / 1943, 1
0x[00000798] / 1944, 6142
0x[00000799] / 1945, 1
0x[0000079B] / 1947, 1
0x[0000079C] / 1948, 1
0x[0000079D] / 1949, 1
0x[0000079E] / 1950, 1
0x[0000079F] / 1951, 1
0x[000007A0] / 1952, 1379
0x[000007A1] / 1953, 1
0x[000007A2] / 1954, 10
0x[000007A3] / 1955, 1
0x[000007A4] / 1956, 1
0x[000007A5] / 1957, 1
0x[000007A7] / 1959, 2
0x[000007A8] / 1960, 3
0x[000007AA] / 1962, 1
0x[000007AD] / 1965, 2
0x[000007AF] / 1967, 2
0x[000007B0] / 1968, 3
0x[000007B1] / 1969, 1
0x[000007B6] / 1974, 2
0x[000007B7] / 1975, 1
0x[000007B8] / 1976, 7
0x[000007B9] / 1977, 1
0x[000007BA] / 1978, 2
0x[000007BB] / 1979, 2
0x[000007BD] / 1981, 1
0x[000007C0] / 1984, 394
0x[000007C1] / 1985, 3
0x[000007C2] / 1986, 2
0x[000007C3] / 1987, 3
0x[000007C6] / 1990, 3
0x[000007C7] / 1991, 1
0x[000007C8] / 1992, 2
0x[000007C9] / 1993, 1
0x[000007CA] / 1994, 1
0x[000007CB] / 1995, 1
0x[000007CC] / 1996, 11
0x[000007CE] / 1998, 1
0x[000007CF] / 1999, 2
0x[000007D0] / 2000, 1186
0x[000007D1] / 2001, 1
0x[000007D4] / 2004, 1
0x[000007D5] / 2005, 1
0x[000007D6] / 2006, 31
0x[000007D7] / 2007, 1
0x[000007D8] / 2008, 16
0x[000007DA] / 2010, 1
0x[000007DB] / 2011, 1
0x[000007DC] / 2012, 11
0x[000007DD] / 2013, 2
0x[000007DE] / 2014, 30
0x[000007E0] / 2016, 1132
0x[000007E1] / 2017, 1
0x[000007E3] / 2019, 1
0x[000007E7] / 2023, 1
0x[000007E9] / 2025, 1
0x[000007EA] / 2026, 2
0x[000007EC] / 2028, 2
0x[000007ED] / 2029, 2
0x[000007EF] / 2031, 2
0x[000007F0] / 2032, 688
0x[000007F1] / 2033, 1
0x[000007F2] / 2034, 3
0x[000007F4] / 2036, 1
0x[000007F7] / 2039, 2
0x[000007F8] / 2040, 4
0x[000007FB] / 2043, 1
0x[000007FC] / 2044, 2
0x[000007FD] / 2045, 5
0x[000007FE] / 2046, 1
0x[00000800] / 2048, 83021
0x[00000801] / 2049, 2
0x[00000802] / 2050, 1
0x[00000803] / 2051, 1
0x[00000804] / 2052, 3
0x[00000805] / 2053, 1
0x[00000806] / 2054, 2
0x[00000808] / 2056, 134
0x[00000809] / 2057, 273
0x[0000080A] / 2058, 1
0x[0000080B] / 2059, 1
0x[0000080F] / 2063, 1
0x[00000810] / 2064, 92
0x[00000811] / 2065, 3
0x[00000812] / 2066, 2
0x[00000814] / 2068, 2
0x[00000815] / 2069, 1
0x[00000816] / 2070, 5
0x[00000817] / 2071, 2
0x[00000818] / 2072, 1
0x[0000081A] / 2074, 9
0x[0000081B] / 2075, 2
0x[0000081C] / 2076, 3
0x[0000081D] / 2077, 2
0x[0000081F] / 2079, 32
0x[00000820] / 2080, 163
0x[00000821] / 2081, 1
0x[00000824] / 2084, 1
0x[00000825] / 2085, 1
0x[00000826] / 2086, 1
0x[00000827] / 2087, 2
0x[00000828] / 2088, 8
0x[0000082C] / 2092, 1
0x[0000082F] / 2095, 1
0x[00000830] / 2096, 2
0x[00000832] / 2098, 15
0x[00000834] / 2100, 2
0x[00000835] / 2101, 1
0x[00000836] / 2102, 2
0x[00000838] / 2104, 3
0x[0000083B] / 2107, 1
0x[0000083E] / 2110, 1
0x[0000083F] / 2111, 2
0x[00000840] / 2112, 1954
0x[00000841] / 2113, 2
0x[00000842] / 2114, 1
0x[00000843] / 2115, 1
0x[00000844] / 2116, 1
0x[00000845] / 2117, 1
0x[00000846] / 2118, 1
0x[00000847] / 2119, 1
0x[00000848] / 2120, 24
0x[0000084A] / 2122, 1
0x[0000084B] / 2123, 1
0x[0000084C] / 2124, 3
0x[0000084E] / 2126, 1
0x[0000084F] / 2127, 5
0x[00000850] / 2128, 32
0x[00000851] / 2129, 1
0x[00000852] / 2130, 22
0x[00000854] / 2132, 1
0x[00000856] / 2134, 63
0x[00000858] / 2136, 387
0x[00000859] / 2137, 8
0x[0000085A] / 2138, 2
0x[0000085C] / 2140, 73
0x[0000085E] / 2142, 1
0x[00000860] / 2144, 403
0x[00000861] / 2145, 1
0x[00000863] / 2147, 1
0x[00000864] / 2148, 3
0x[00000865] / 2149, 3
0x[00000866] / 2150, 3
0x[00000869] / 2153, 2
0x[0000086B] / 2155, 1
0x[0000086D] / 2157, 1
0x[0000086E] / 2158, 10
0x[00000870] / 2160, 490
0x[00000871] / 2161, 1
0x[00000872] / 2162, 1
0x[00000875] / 2165, 10
0x[00000878] / 2168, 3
0x[0000087B] / 2171, 1
0x[0000087E] / 2174, 1
0x[00000880] / 2176, 151
0x[00000881] / 2177, 3
0x[00000882] / 2178, 3
0x[00000883] / 2179, 1
0x[00000884] / 2180, 2
0x[00000886] / 2182, 1
0x[00000887] / 2183, 1
0x[00000888] / 2184, 1
0x[0000088A] / 2186, 2
0x[0000088B] / 2187, 3
0x[0000088D] / 2189, 1
0x[0000088E] / 2190, 1
0x[0000088F] / 2191, 2
0x[00000890] / 2192, 3
0x[00000891] / 2193, 1
0x[00000892] / 2194, 3
0x[00000894] / 2196, 4
0x[00000896] / 2198, 1
0x[00000897] / 2199, 1
0x[00000899] / 2201, 1
0x[0000089B] / 2203, 1
0x[000008A0] / 2208, 74
0x[000008A1] / 2209, 1
0x[000008A2] / 2210, 1
0x[000008A4] / 2212, 2
0x[000008A5] / 2213, 2
0x[000008A6] / 2214, 1
0x[000008A7] / 2215, 2
0x[000008A9] / 2217, 1
0x[000008AA] / 2218, 1
0x[000008AB] / 2219, 1
0x[000008AC] / 2220, 1
0x[000008B2] / 2226, 6
0x[000008B3] / 2227, 1
0x[000008B4] / 2228, 1
0x[000008B5] / 2229, 1
0x[000008B6] / 2230, 4
0x[000008B7] / 2231, 1
0x[000008B8] / 2232, 3
0x[000008BD] / 2237, 1
0x[000008BE] / 2238, 1
0x[000008C0] / 2240, 745
0x[000008C1] / 2241, 1
0x[000008C2] / 2242, 2
0x[000008C4] / 2244, 1
0x[000008C7] / 2247, 1
0x[000008C8] / 2248, 284
0x[000008CA] / 2250, 3
0x[000008CB] / 2251, 1
0x[000008CD] / 2253, 1
0x[000008CF] / 2255, 2
0x[000008D0] / 2256, 94
0x[000008D2] / 2258, 2
0x[000008D3] / 2259, 1
0x[000008D4] / 2260, 1
0x[000008D7] / 2263, 1
0x[000008D8] / 2264, 2
0x[000008D9] / 2265, 2
0x[000008DA] / 2266, 3
0x[000008DB] / 2267, 1
0x[000008DC] / 2268, 10
0x[000008DD] / 2269, 1
0x[000008DE] / 2270, 2
0x[000008E0] / 2272, 12833
0x[000008E1] / 2273, 1
0x[000008E3] / 2275, 1
0x[000008E4] / 2276, 6
0x[000008E5] / 2277, 1
0x[000008E6] / 2278, 3
0x[000008E7] / 2279, 158
0x[000008E8] / 2280, 3
0x[000008E9] / 2281, 1
0x[000008EA] / 2282, 1
0x[000008EC] / 2284, 1
0x[000008ED] / 2285, 1
0x[000008EF] / 2287, 10
0x[000008F0] / 2288, 5175
0x[000008F1] / 2289, 1
0x[000008F2] / 2290, 2
0x[000008F4] / 2292, 53
0x[000008F8] / 2296, 4
0x[000008FA] / 2298, 1
0x[000008FB] / 2299, 1
0x[000008FC] / 2300, 2
0x[000008FD] / 2301, 1
0x[000008FF] / 2303, 1
0x[00000900] / 2304, 11431
0x[00000901] / 2305, 1
0x[00000902] / 2306, 1
0x[00000903] / 2307, 3
0x[00000904] / 2308, 10
0x[00000905] / 2309, 4
0x[00000906] / 2310, 2
0x[00000908] / 2312, 10
0x[0000090A] / 2314, 2
0x[0000090E] / 2318, 12
0x[0000090F] / 2319, 1
0x[00000910] / 2320, 2
0x[00000911] / 2321, 1
0x[00000912] / 2322, 1
0x[00000914] / 2324, 2
0x[00000915] / 2325, 1
0x[00000916] / 2326, 1
0x[00000917] / 2327, 1
0x[00000918] / 2328, 2
0x[00000919] / 2329, 1
0x[0000091A] / 2330, 1
0x[0000091D] / 2333, 2
0x[0000091F] / 2335, 1
0x[00000920] / 2336, 167
0x[00000922] / 2338, 2
0x[00000923] / 2339, 1
0x[00000924] / 2340, 7
0x[00000925] / 2341, 2
0x[00000926] / 2342, 1
0x[00000928] / 2344, 1
0x[0000092A] / 2346, 1
0x[0000092B] / 2347, 1
0x[0000092E] / 2350, 13
0x[0000092F] / 2351, 2
0x[00000930] / 2352, 55
0x[00000931] / 2353, 1
0x[00000937] / 2359, 2
0x[0000093B] / 2363, 1
0x[0000093C] / 2364, 2
0x[0000093E] / 2366, 1
0x[0000093F] / 2367, 1
0x[00000940] / 2368, 41
0x[00000941] / 2369, 2
0x[00000942] / 2370, 1
0x[00000943] / 2371, 1
0x[00000948] / 2376, 37
0x[00000949] / 2377, 1
0x[0000094A] / 2378, 2
0x[0000094B] / 2379, 2
0x[0000094C] / 2380, 1
0x[0000094D] / 2381, 1
0x[0000094F] / 2383, 2
0x[00000950] / 2384, 1
0x[00000951] / 2385, 3
0x[00000952] / 2386, 5
0x[00000955] / 2389, 1
0x[00000956] / 2390, 1
0x[00000959] / 2393, 2
0x[0000095F] / 2399, 1
0x[00000960] / 2400, 644
0x[00000961] / 2401, 2
0x[00000967] / 2407, 1
0x[00000969] / 2409, 1
0x[0000096B] / 2411, 2
0x[00000970] / 2416, 12
0x[00000971] / 2417, 1
0x[00000972] / 2418, 1
0x[00000974] / 2420, 1
0x[00000979] / 2425, 1
0x[0000097E] / 2430, 1
0x[00000980] / 2432, 274
0x[00000983] / 2435, 2
0x[00000986] / 2438, 1
0x[00000987] / 2439, 1
0x[00000989] / 2441, 2
0x[0000098B] / 2443, 31
0x[0000098C] / 2444, 151
0x[0000098D] / 2445, 3
0x[0000098F] / 2447, 1
0x[00000990] / 2448, 9847
0x[00000992] / 2450, 1
0x[00000995] / 2453, 1
0x[00000997] / 2455, 1
0x[00000998] / 2456, 190
0x[00000999] / 2457, 2
0x[0000099C] / 2460, 63
0x[0000099E] / 2462, 2
0x[000009A0] / 2464, 5
0x[000009A1] / 2465, 2
0x[000009A2] / 2466, 1
0x[000009A3] / 2467, 2
0x[000009A4] / 2468, 1
0x[000009A7] / 2471, 2
0x[000009A8] / 2472, 34
0x[000009A9] / 2473, 1
0x[000009AB] / 2475, 1
0x[000009AC] / 2476, 2
0x[000009B0] / 2480, 14
0x[000009B1] / 2481, 1
0x[000009B6] / 2486, 1
0x[000009B7] / 2487, 1
0x[000009B8] / 2488, 1
0x[000009BA] / 2490, 1
0x[000009BC] / 2492, 4
0x[000009BE] / 2494, 2
0x[000009C0] / 2496, 168
0x[000009C1] / 2497, 1
0x[000009C3] / 2499, 1
0x[000009C4] / 2500, 32
0x[000009C6] / 2502, 2
0x[000009C8] / 2504, 1
0x[000009C9] / 2505, 1
0x[000009CA] / 2506, 1
0x[000009CB] / 2507, 1
0x[000009CC] / 2508, 1
0x[000009CD] / 2509, 1
0x[000009CE] / 2510, 130
0x[000009CF] / 2511, 3
0x[000009D0] / 2512, 2
0x[000009D1] / 2513, 2
0x[000009D4] / 2516, 2
0x[000009D5] / 2517, 1
0x[000009D8] / 2520, 42
0x[000009D9] / 2521, 1
0x[000009DC] / 2524, 1
0x[000009DD] / 2525, 1
0x[000009E0] / 2528, 10
0x[000009E2] / 2530, 24
0x[000009E4] / 2532, 1
0x[000009E5] / 2533, 1
0x[000009E9] / 2537, 1
0x[000009EB] / 2539, 1
0x[000009EC] / 2540, 1
0x[000009EF] / 2543, 1
0x[000009F0] / 2544, 304
0x[000009F1] / 2545, 1
0x[000009F8] / 2552, 1
0x[000009F9] / 2553, 1
0x[000009FB] / 2555, 2
0x[000009FC] / 2556, 3
0x[000009FD] / 2557, 1
0x[000009FE] / 2558, 2
0x[000009FF] / 2559, 1
0x[00000A00] / 2560, 29112
0x[00000A02] / 2562, 1
0x[00000A08] / 2568, 10
0x[00000A09] / 2569, 1
0x[00000A0A] / 2570, 4
0x[00000A0B] / 2571, 2
0x[00000A10] / 2576, 318
0x[00000A12] / 2578, 1
0x[00000A13] / 2579, 1
0x[00000A14] / 2580, 6
0x[00000A16] / 2582, 5
0x[00000A19] / 2585, 1
0x[00000A1A] / 2586, 3
0x[00000A1B] / 2587, 1
0x[00000A1D] / 2589, 1
0x[00000A1E] / 2590, 2
0x[00000A1F] / 2591, 4
0x[00000A20] / 2592, 92365
0x[00000A21] / 2593, 1
0x[00000A22] / 2594, 5
0x[00000A24] / 2596, 3
0x[00000A28] / 2600, 6
0x[00000A29] / 2601, 3
0x[00000A2A] / 2602, 2
0x[00000A2C] / 2604, 2
0x[00000A2D] / 2605, 1
0x[00000A2F] / 2607, 1
0x[00000A30] / 2608, 118
0x[00000A32] / 2610, 1
0x[00000A34] / 2612, 3
0x[00000A35] / 2613, 2
0x[00000A38] / 2616, 42
0x[00000A3B] / 2619, 1
0x[00000A3E] / 2622, 2
0x[00000A3F] / 2623, 1
0x[00000A40] / 2624, 2
0x[00000A42] / 2626, 3
0x[00000A43] / 2627, 1
0x[00000A44] / 2628, 3
0x[00000A45] / 2629, 1
0x[00000A48] / 2632, 12
0x[00000A4A] / 2634, 1
0x[00000A4F] / 2639, 3
0x[00000A50] / 2640, 830
0x[00000A51] / 2641, 1
0x[00000A52] / 2642, 1
0x[00000A55] / 2645, 4
0x[00000A58] / 2648, 1
0x[00000A5A] / 2650, 2
0x[00000A5C] / 2652, 4
0x[00000A5E] / 2654, 3
0x[00000A60] / 2656, 210
0x[00000A62] / 2658, 1
0x[00000A64] / 2660, 11
0x[00000A65] / 2661, 1
0x[00000A67] / 2663, 2
0x[00000A68] / 2664, 2
0x[00000A69] / 2665, 1
0x[00000A6E] / 2670, 1
0x[00000A70] / 2672, 12
0x[00000A74] / 2676, 7
0x[00000A77] / 2679, 1
0x[00000A79] / 2681, 1
0x[00000A7B] / 2683, 3
0x[00000A7D] / 2685, 1
0x[00000A80] / 2688, 2562
0x[00000A81] / 2689, 1
0x[00000A82] / 2690, 1
0x[00000A84] / 2692, 1
0x[00000A8C] / 2700, 6
0x[00000A8F] / 2703, 1
0x[00000A90] / 2704, 6
0x[00000A91] / 2705, 2
0x[00000A92] / 2706, 1
0x[00000A94] / 2708, 1
0x[00000A96] / 2710, 1
0x[00000A97] / 2711, 1
0x[00000A98] / 2712, 33
0x[00000A99] / 2713, 80
0x[00000A9A] / 2714, 2
0x[00000A9B] / 2715, 2
0x[00000A9C] / 2716, 1
0x[00000A9D] / 2717, 1
0x[00000A9E] / 2718, 1
0x[00000AA0] / 2720, 10
0x[00000AA1] / 2721, 3
0x[00000AA2] / 2722, 65
0x[00000AA3] / 2723, 2
0x[00000AA4] / 2724, 2
0x[00000AA5] / 2725, 2
0x[00000AA6] / 2726, 1
0x[00000AA8] / 2728, 1
0x[00000AA9] / 2729, 17
0x[00000AAA] / 2730, 21
0x[00000AAB] / 2731, 3
0x[00000AAC] / 2732, 1
0x[00000AAD] / 2733, 1
0x[00000AAF] / 2735, 1
0x[00000AB0] / 2736, 3535
0x[00000AB1] / 2737, 1
0x[00000AB4] / 2740, 1
0x[00000AB6] / 2742, 1
0x[00000ABB] / 2747, 1
0x[00000ABC] / 2748, 23
0x[00000ABE] / 2750, 1
0x[00000AC0] / 2752, 2
0x[00000AC2] / 2754, 14
0x[00000AC4] / 2756, 1
0x[00000AC5] / 2757, 1
0x[00000AC6] / 2758, 1
0x[00000AC7] / 2759, 1
0x[00000AC8] / 2760, 3
0x[00000ACB] / 2763, 2
0x[00000ACC] / 2764, 1
0x[00000AD0] / 2768, 4
0x[00000AD1] / 2769, 2
0x[00000AD3] / 2771, 1
0x[00000AD6] / 2774, 7
0x[00000AD7] / 2775, 1
0x[00000AD9] / 2777, 1
0x[00000ADA] / 2778, 1
0x[00000ADB] / 2779, 1
0x[00000ADC] / 2780, 1
0x[00000ADF] / 2783, 2
0x[00000AE0] / 2784, 796
0x[00000AE2] / 2786, 1
0x[00000AE3] / 2787, 1
0x[00000AE4] / 2788, 1
0x[00000AE5] / 2789, 1
0x[00000AF0] / 2800, 4
0x[00000AF1] / 2801, 2
0x[00000AF5] / 2805, 1
0x[00000AF8] / 2808, 1
0x[00000AFA] / 2810, 2
0x[00000AFB] / 2811, 21
0x[00000AFD] / 2813, 1
0x[00000AFE] / 2814, 1
0x[00000AFF] / 2815, 1
0x[00000B00] / 2816, 24169
0x[00000B03] / 2819, 1
0x[00000B06] / 2822, 1
0x[00000B07] / 2823, 1
0x[00000B08] / 2824, 1
0x[00000B09] / 2825, 1
0x[00000B0B] / 2827, 1
0x[00000B10] / 2832, 441
0x[00000B11] / 2833, 1
0x[00000B14] / 2836, 2
0x[00000B16] / 2838, 1
0x[00000B17] / 2839, 1
0x[00000B18] / 2840, 1
0x[00000B19] / 2841, 1
0x[00000B1B] / 2843, 1
0x[00000B1D] / 2845, 1
0x[00000B20] / 2848, 3807
0x[00000B22] / 2850, 2
0x[00000B24] / 2852, 3
0x[00000B26] / 2854, 1
0x[00000B28] / 2856, 8
0x[00000B29] / 2857, 1
0x[00000B2B] / 2859, 1
0x[00000B2C] / 2860, 1
0x[00000B30] / 2864, 5
0x[00000B35] / 2869, 1
0x[00000B36] / 2870, 1
0x[00000B3A] / 2874, 1
0x[00000B3B] / 2875, 2
0x[00000B40] / 2880, 514
0x[00000B46] / 2886, 1
0x[00000B47] / 2887, 28
0x[00000B48] / 2888, 1
0x[00000B4C] / 2892, 1
0x[00000B4D] / 2893, 1
0x[00000B4F] / 2895, 1
0x[00000B50] / 2896, 562
0x[00000B52] / 2898, 1
0x[00000B54] / 2900, 1
0x[00000B56] / 2902, 1
0x[00000B59] / 2905, 1
0x[00000B5A] / 2906, 2
0x[00000B5F] / 2911, 1
0x[00000B60] / 2912, 16
0x[00000B61] / 2913, 1
0x[00000B64] / 2916, 1
0x[00000B65] / 2917, 1
0x[00000B67] / 2919, 1
0x[00000B68] / 2920, 3
0x[00000B69] / 2921, 1
0x[00000B6D] / 2925, 1
0x[00000B6F] / 2927, 1
0x[00000B70] / 2928, 1
0x[00000B72] / 2930, 5
0x[00000B73] / 2931, 1
0x[00000B74] / 2932, 2
0x[00000B76] / 2934, 5
0x[00000B78] / 2936, 2
0x[00000B7B] / 2939, 1
0x[00000B7D] / 2941, 1
0x[00000B7E] / 2942, 1
0x[00000B80] / 2944, 88
0x[00000B81] / 2945, 1
0x[00000B84] / 2948, 1
0x[00000B87] / 2951, 1
0x[00000B88] / 2952, 5
0x[00000B8A] / 2954, 55
0x[00000B8B] / 2955, 1
0x[00000B92] / 2962, 2
0x[00000B94] / 2964, 1
0x[00000B96] / 2966, 1
0x[00000B98] / 2968, 1
0x[00000B99] / 2969, 2
0x[00000B9B] / 2971, 2
0x[00000B9D] / 2973, 1
0x[00000BA0] / 2976, 77
0x[00000BA2] / 2978, 1
0x[00000BA5] / 2981, 1
0x[00000BAA] / 2986, 2
0x[00000BAC] / 2988, 15
0x[00000BB0] / 2992, 45
0x[00000BB3] / 2995, 1
0x[00000BB4] / 2996, 13
0x[00000BB5] / 2997, 2
0x[00000BB6] / 2998, 1
0x[00000BB8] / 3000, 2263
0x[00000BB9] / 3001, 1
0x[00000BBF] / 3007, 1
0x[00000BC0] / 3008, 5437
0x[00000BC2] / 3010, 1
0x[00000BC4] / 3012, 1
0x[00000BC5] / 3013, 1
0x[00000BC7] / 3015, 150
0x[00000BC8] / 3016, 2
0x[00000BCB] / 3019, 1
0x[00000BCD] / 3021, 1
0x[00000BCF] / 3023, 1
0x[00000BD0] / 3024, 933
0x[00000BD1] / 3025, 1
0x[00000BD7] / 3031, 2
0x[00000BD8] / 3032, 1
0x[00000BD9] / 3033, 1
0x[00000BDC] / 3036, 2
0x[00000BDF] / 3039, 1
0x[00000BE0] / 3040, 81
0x[00000BE2] / 3042, 1
0x[00000BE3] / 3043, 76
0x[00000BE4] / 3044, 61
0x[00000BE5] / 3045, 1
0x[00000BE7] / 3047, 1
0x[00000BE8] / 3048, 2
0x[00000BEA] / 3050, 1
0x[00000BED] / 3053, 1
0x[00000BEE] / 3054, 1
0x[00000BEF] / 3055, 1
0x[00000BF0] / 3056, 521
0x[00000BF2] / 3058, 3
0x[00000BF4] / 3060, 1
0x[00000BF6] / 3062, 2
0x[00000BF7] / 3063, 2
0x[00000BF8] / 3064, 1
0x[00000BF9] / 3065, 51
0x[00000BFB] / 3067, 2
0x[00000BFD] / 3069, 2
0x[00000BFE] / 3070, 1
0x[00000BFF] / 3071, 3
0x[00000C00] / 3072, 42230
0x[00000C02] / 3074, 2
0x[00000C06] / 3078, 1
0x[00000C09] / 3081, 2
0x[00000C0C] / 3084, 1
0x[00000C0F] / 3087, 42
0x[00000C10] / 3088, 633
0x[00000C11] / 3089, 301
0x[00000C12] / 3090, 4
0x[00000C13] / 3091, 168
0x[00000C15] / 3093, 1
0x[00000C1A] / 3098, 1
0x[00000C1C] / 3100, 1
0x[00000C1E] / 3102, 1
0x[00000C20] / 3104, 748
0x[00000C21] / 3105, 1
0x[00000C22] / 3106, 2
0x[00000C24] / 3108, 2
0x[00000C25] / 3109, 1
0x[00000C26] / 3110, 15
0x[00000C27] / 3111, 1
0x[00000C2E] / 3118, 1
0x[00000C30] / 3120, 191
0x[00000C37] / 3127, 1
0x[00000C38] / 3128, 1
0x[00000C3A] / 3130, 15
0x[00000C3D] / 3133, 1
0x[00000C40] / 3136, 1014
0x[00000C42] / 3138, 1
0x[00000C49] / 3145, 1
0x[00000C4A] / 3146, 1
0x[00000C4B] / 3147, 3
0x[00000C4C] / 3148, 1
0x[00000C4E] / 3150, 1
0x[00000C52] / 3154, 1
0x[00000C55] / 3157, 1
0x[00000C5B] / 3163, 1
0x[00000C5D] / 3165, 1
0x[00000C5E] / 3166, 1
0x[00000C60] / 3168, 237
0x[00000C66] / 3174, 1
0x[00000C67] / 3175, 1
0x[00000C68] / 3176, 2
0x[00000C6A] / 3178, 2
0x[00000C6C] / 3180, 3
0x[00000C70] / 3184, 12
0x[00000C73] / 3187, 1
0x[00000C7A] / 3194, 1
0x[00000C7C] / 3196, 2
0x[00000C80] / 3200, 837
0x[00000C82] / 3202, 1
0x[00000C83] / 3203, 1
0x[00000C85] / 3205, 2
0x[00000C86] / 3206, 1
0x[00000C89] / 3209, 1
0x[00000C8B] / 3211, 1
0x[00000C8C] / 3212, 1
0x[00000C8E] / 3214, 1
0x[00000C90] / 3216, 309
0x[00000C93] / 3219, 1
0x[00000C99] / 3225, 4
0x[00000C9B] / 3227, 1
0x[00000C9C] / 3228, 1
0x[00000C9F] / 3231, 1
0x[00000CA0] / 3232, 522
0x[00000CA3] / 3235, 1
0x[00000CA6] / 3238, 1
0x[00000CA8] / 3240, 558
0x[00000CAE] / 3246, 1
0x[00000CB0] / 3248, 376
0x[00000CB1] / 3249, 1
0x[00000CB4] / 3252, 1
0x[00000CB7] / 3255, 2
0x[00000CB8] / 3256, 1
0x[00000CB9] / 3257, 1
0x[00000CBA] / 3258, 1
0x[00000CBB] / 3259, 1
0x[00000CBE] / 3262, 1
0x[00000CBF] / 3263, 2
0x[00000CC0] / 3264, 122269
0x[00000CC3] / 3267, 1
0x[00000CC6] / 3270, 1
0x[00000CC8] / 3272, 1
0x[00000CC9] / 3273, 1
0x[00000CCC] / 3276, 1
0x[00000CCF] / 3279, 1
0x[00000CD0] / 3280, 317
0x[00000CD3] / 3283, 1
0x[00000CD6] / 3286, 1
0x[00000CD8] / 3288, 1
0x[00000CDD] / 3293, 1
0x[00000CDE] / 3294, 2
0x[00000CE0] / 3296, 809
0x[00000CEB] / 3307, 1
0x[00000CED] / 3309, 2
